county,constituency_code,constituency_name,office_location,landmark,distance_from_landmark,latitude,longitude,geocode_method,geocode_confidence,accuracy_meters,formatted_address,successful_geocode_query,total_queries_tried,geocode_status
Marsabit,,Saku,"ACK Saku Offices Building,",St. Peter Cathedral,Within The Compound,2.3347,37.9908,enhanced_constituency_center_offset,0.7,2000.0,"Enhanced: Saku, Marsabit",Enhanced_Constituency_Center,0,enhanced
Marsabit,,Laisamis,DCC Office Laisamis,DCC Office,DCC Compound,2.3348,37.9909,enhanced_constituency_center_offset,0.7,2000.0,"Enhanced: Laisamis, Marsabit",Enhanced_Constituency_Center,0,enhanced
Isiolo,,Isiolo South,Garbatulla Town,Garbatulla Catholic Mission,Within Garbatulla Catholic,0.3548,37.5823,enhanced_constituency_center_offset,0.7,2000.0,"Enhanced: Isiolo South, Isiolo",Enhanced_Constituency_Center,0,enhanced
Tharaka-Nithi,,Maara,"DCC Compound, Kienganguru",DCC Compound,100 Metres,-0.23558783542377373,37.63199142702682,provider_refined:locationiq,0.6,200.0,"Maara, Mwimbi, Tharaka-Nithi, Kenya",,0,success
Tharaka-Nithi,,Chuka/ Igambang'ombe,"Chuka Town, Sub County Office Compound",Opposite Trans National Bank,200 Metres,-1.2873577526213966,36.82195884295333,provider_refined:locationiq,0.6,400.0,"Trans National Bank, City Hall Way, Nairobi, Nairobi Area, Kenya",,0,success
Tharaka-Nithi,,Tharaka,"Marimanti Town, DCC Compound",DCC Offices,200 Metres,-1.0543137165252137,36.783377946789415,provider_refined:locationiq,0.6,400.0,"Githunguri DCC’S office, Kiambu, Central, Kenya",,0,success
Makueni,,Mbooni,Tawa Social Hall,Tawa Law Courts,80 Metres,1.726108931564884,40.008700067793825,provider_refined:locationiq,0.6,160.0,"social hall, 321, Mayalo Road, Wajir, North-Eastern, 213, Kenya",,0,success
Makueni,,Kilome,Kwa DC (Malili),Konza City (Malili),1 km (along NBI-MSA Highway),-1.6598178560691992,37.44845768440414,provider_refined:locationiq,0.6,2000.0,"Kwa Kimeu, Makueni, Eastern, Kenya",,0,success
Makueni,,Kaiti,Mukuyuni Shopping Centre (CDF Compound),Mukuyuni Police Station,200 Metres,-1.1941209835330007,36.74936250000743,provider_refined:locationiq,0.6,400.0,"Shade to Market shopping center, Kiambu, Central, Kenya",,0,success
Makueni,,Kibwezi West,Makindu Town,DCCs Office,Same compound,-2.25999954293009,37.80303450961628,provider_refined:locationiq,0.6,200.0,"Makindu, Makueni, Eastern, Kenya",,0,success
Makueni,,Kibwezi East,Kambu Lutheran Church,Kambu Sub County (Ministry of Interior Office),150 Metres,-3.1728531706211656,39.862230574661446,provider_refined:locationiq,0.6,300.0,"Lutheran Church, Malindi, Coast, Kenya",,0,success
Nyandarua,,Ol Kalou,IEBC County Headqauters,Posta Building Olkalou,Within,-0.27571360129704375,36.376819455240714,provider_refined:locationiq,0.6,200.0,"Ol Kalou, Nyandarua, Central, Kenya",,0,success
Kirinyaga,,Mwea,County Council Offices Wanguru,Wanguru Police Station,50 Metres,-0.6770435875818387,34.77131033034105,provider_refined:locationiq,0.6,100.0,"Kisii County Council Offices, Kisii Central, Nyanza, Kenya",,0,success
Kirinyaga,,Gichugu,All Saints Kianyaga ACK,Raimu Primary School,50 Metres,-1.289190756700781,36.81387535154788,provider_refined:locationiq,0.6,100.0,"All Saints Cathedral, Kenyatta Avenue, Nairobi, Nairobi Area, P.O Box 40539 Nairobi, Nairobi City, Kenya",,0,success
Kirinyaga,,Ndia,Baricho Town,A.C.K St Philips - Baricho,0.5metres,-1.444345,36.678405,provider_refined:locationiq,0.6,50.0,"ACK Road, Kajiado, Rift Valley, Kenya",,0,success
Kirinyaga,,Kirinyaga Central,Kerugoya Municipal Council Offices,Kerugoya Police Station/Kerugoya State,50 Metres,-0.6613283481555888,37.21838983859295,provider_refined:locationiq,0.6,100.0,"Sagana Police Station, C73, Kirinyaga, Central, Kenya",,0,success
Kirinyaga,,Kangema,Kangema Town,DCC’s offices.,Within th DCC's office,-0.5545190440581845,37.30245461394071,provider_refined:locationiq,0.6,200.0,"Kirinyaga, Central, Kenya",,0,success
Kirinyaga,,Mathioya,Kiria-Ini Town,DCC’s offices.,Within th DCC's office,-0.7140868757082535,37.18828000980245,provider_refined:locationiq,0.6,200.0,"River Mathioya, Gikuu, Kiharu, Murang'a County, Kenya",,0,success
Kirinyaga,,Kiharu,Murang’a -,"Along Kenol Murang'a Road, Next To Rubis Petrol Station at",100 Meters,-0.554344787818982,37.30182916051366,provider_refined:locationiq,0.6,200.0,"Kirinyaga, Central, Kenya",,0,success
Kirinyaga,,Kigumo,Kangari Town,"East End Mall, Building, 3rd Floor. Kangari Town.",Within Muungano Microfinance buidling,-0.10685754909130675,34.75109335764961,provider_refined:locationiq,0.6,200.0,"The West End Mall, Kisumu, Nyanza, Kenya",,0,success
Kirinyaga,,Maragwa,Makuyu,"World Vision Block adjudcent to ACC’s Office, Makuyu",20 Meters ACCs office Makuyu,-0.5534607335237521,37.302442470281434,provider_refined:locationiq,0.6,50.0,"Kirinyaga, Central, Kenya",,0,success
Kirinyaga,,Kandara,Kandara Town,"Hurukai House, 2nd Floor Above Amica Sacco, 500 meters",500 Meters from DCC's office,-0.9025900046357137,37.00367623499085,provider_refined:locationiq,0.6,1000.0,"Kandara, Maragua, Central, Kenya",,0,success
Kirinyaga,,Gatanga,Kirwara Town,"Next to Amica Sacco Building, Ground Floor. Kirwara Town.",20 Meters from Kirwara Police Station,-0.553472612960094,37.30246412887688,provider_refined:locationiq,0.6,50.0,"Kirinyaga, Central, Kenya",,0,success
Kiambu,,Gatundu North,Kamwangi,DCC Office Kamwangi,Within DCC Office Compound,-0.9593612332929021,36.89979896625441,provider_refined:nominatim,0.65,200.0,"Kamwangi, Chania ward, Gatundu North, Kiambu, Kenya",,0,success
Kiambu,,Juja,Menja Vision Plaza,Behind Agakhan Hospital,30 Metres,-1.3269692032565072,36.8524588761906,provider_refined:locationiq,0.6,60.0,"Vision plaza, Mombasa Road, Nairobi, Nairobi Area, Kenya",,0,success
Kiambu,,Thika Town,Afc Building Thika,Buffalo Grill & Butchery,100 Metres,-1.0378893596641738,37.07336350452877,provider_refined:nominatim,0.65,200.0,"BUFFALO GRILL AND BUTCHERY, Kenyatta Highway, Thika, Thika Town, Kiambu, 01000, Kenya",,0,success
Kiambu,,Githunguri,DCC Compound,DCC Offices,7 Metres,-1.056078,36.783028,provider_refined:locationiq,0.6,50.0,"Githunguri DCC’S office, Kiambu, Central, Kenya",,0,success
Kiambu,,Kabete,Kabete Sub County Government Premises.,Wangige Sub County Hospital,100 Metres,-1.1712547062203398,36.83096469121056,provider_refined:locationiq,0.6,200.0,"Kiambu Sub County Hospital, Biashara Street Kiambu, Kiambu, Central, Kenya",,0,success
Kiambu,,Kikuyu,Kikuyu Town,K-Unity Bank,Zero,-1.2445471102244847,36.66520484963569,provider_refined:nominatim,0.65,200.0,"Kikuyu, Kiambu, 00109, Kenya",,0,success
Kiambu,,Lari,"Along Nairobi - Nakuru Highway, Within Ki-",Kimende Town,Within,-1.025021536288121,36.63169492482496,provider_refined:locationiq,0.6,200.0,"Lari, Kiambu, Central, Kenya",,0,success
Turkana,,Turkana North,DCC's Compound Lokitaung',DCC's Office,10 Metres,-0.296178,35.794009,provider_refined:locationiq,0.6,50.0,"District Officer's Office, Elburgon, Nakuru, Rift Valley, 20102, Kenya",,0,success
Turkana,,Turkana West,Old DCC's Office Kakuma,Refugees Affairs Services Offices,5 Metres,1.015231,39.495124,provider_refined:locationiq,0.6,50.0,"Old Habawein DCs Office, Wajir, North-Eastern, Kenya",,0,success
Turkana,,Turkana Central,DCC's Compound Lodwar,Huduma Centre,10 Metres,3.714627,34.85657,provider_refined:locationiq,0.6,50.0,"Lutheran World Foundation Compound, Turkana, Rift Valley, Kenya",,0,success
Turkana,,Loima,DCC's Compound Lorgum,DCC's Office,10 Metres,-0.296178,35.794009,provider_refined:locationiq,0.6,50.0,"District Officer's Office, Elburgon, Nakuru, Rift Valley, 20102, Kenya",,0,success
Turkana,,Turkana South,DCC's Compound Lokichar,DCC's Office,5 Metres,-0.296178,35.794009,provider_refined:locationiq,0.6,50.0,"District Officer's Office, Elburgon, Nakuru, Rift Valley, 20102, Kenya",,0,success
Turkana,,Turkana East,DCC's Compound Lokori,DCC's Office,5 metres,-0.296178,35.794009,provider_refined:locationiq,0.6,50.0,"District Officer's Office, Elburgon, Nakuru, Rift Valley, 20102, Kenya",,0,success
West Pokot,,Kapenguria,Deputy Commissioner’s Compound,DCC Offices,10 Meters,1.24007,35.119977,provider_refined:locationiq,0.6,50.0,"West Pokot County Assembly Offices, West Pokot, Rift Valley, Kenya",,0,success
West Pokot,,Sigor,KVDA,KVDA Offices,0 Metres,0.519374,35.274852,provider_refined:locationiq,0.6,50.0,"KVDA, Uasin Gishu, Rift Valley, Kenya",,0,success
West Pokot,,Kacheliba,Holy Cross Catholic Church Kacheliba Catholic Church,100 Meters,,-1.2843125980436092,36.76132725610554,provider_refined:locationiq,0.6,200.0,"Holy Cross Catholic Church, Serenity Road, Nairobi, Nairobi Area, Kenya",,0,success
West Pokot,,Pokot South,St Marks Development Centre,DCC Offices,200 Meters,0.5546407633019504,37.90144425905252,provider_refined:locationiq,0.6,400.0,Kenya,,0,success
Samburu,,Samburu North,Baragoi Town,DCC Office,Within the DCC Building - 0 Metres,0.792365,37.497744,provider_refined:locationiq,0.6,50.0,"Archer's Post - Baragoi Road, Samburu, Rift Valley, Kenya",,0,success
Samburu,,Samburu East,Wambaa Town,Wamba Parish,Within the Church Compound - 0 Metres,0.554064,37.903148,provider_refined:locationiq,0.6,50.0,Kenya,,0,success
Trans Nzoia,,Kwanza,KFA Building kitale town,KFA Building,Within KFA Building,-0.11168798517966513,34.753754974009226,provider_refined:locationiq,0.6,200.0,"Nzoia Road, Kisumu, Nyanza, Kenya",,0,success
Trans Nzoia,,Endebess,Endebess Centre,DCCs office,150 Metres,1.0749091660356755,34.89974826765024,provider_refined:locationiq,0.6,300.0,"Endebess Village Route, Trans Nzoia, Rift Valley, Kenya",,0,success
Trans Nzoia,,Saboti,Maendeleo ya wanawake building Old Ambwere Plaza,100 Metres,,1.0153329668405833,34.99990908643939,provider_refined:locationiq,0.6,200.0,"Ambwere Plaza, Trans Nzoia, Rift Valley, Kenya",,0,success
Trans Nzoia,,Kiminini,Kiminini centre,St Peters Cleavers Catholic Church,Within Church Compound,0.8936829992537056,34.92436670227455,provider_refined:locationiq,0.6,200.0,"Kiminini, Trans Nzoia, Rift Valley, Kenya",,0,success
Trans Nzoia,,Cherangany,Kachibora,DCCs office,Within DCCs Office,0.9827039933004491,35.22351472071747,provider_refined:nominatim,0.65,200.0,"Kachibora, Cherangany, Trans Nzoia, Kenya",,0,success
Uasin Gishu,,Turbo,"Within NCCK North headquarters, West Indies","NCCK North Headquarters, West Indies",100 Metres,0.1961647753177631,37.4647255614086,provider_refined:locationiq,0.6,200.0,"NRT Headquarters, Meru Central, Eastern, Kenya",,0,success
Uasin Gishu,,Moiben,"Kimumu Ward Administrative Offices in Ainabtich, Kimumu Ward Administrative Offices",100 Metres,,0.8157082439350508,35.38341641830341,provider_refined:nominatim,0.65,200.0,"Moiben, Moiben ward, Moiben, Uasin Gishu, Kenya",,0,success
Uasin Gishu,,Ainabkoi,"Adjacent To Eldoret East District Hqs, Off",Eldoret East District Hqs,Across The Road (0),0.31031471566687524,35.45724069679119,provider_refined:locationiq,0.6,100.0,"Ainabkoi, Uasin Gishu County, Kenya",,0,success
Uasin Gishu,,Kapseret,"Inside R.C.E.A Ushirika Church Compound, Op-","R.C.E.A Ushirika Church, Opposite Hills School",Inside The Church Compound,-1.365229,36.662589,provider_refined:locationiq,0.6,50.0,"Hills View Este, Kajiado, Rift Valley, Kenya",,0,success
Uasin Gishu,,Kesses,Jamboni Complex Near DCC’s Office,Moi Unversity Law School,1 Km,0.46464322666281865,35.300871173585946,provider_refined:locationiq,0.6,2000.0,"Jamboni Complex 2010, Eldoret - Nakuru Road, Uasin Gishu, Rift Valley, Kenya",,0,success
Elgeyo Marakwet,,Marakwet East,Chesoi DCC Compound,DCC Office,Within,0.5548689535135196,37.90354905392961,provider_refined:locationiq,0.6,200.0,Kenya,,0,success
Elgeyo Marakwet,,Marakwet West,Kapsowar IEBC Office,IEBC,Within,0.5531648606821885,37.90312989285645,provider_refined:locationiq,0.6,200.0,Kenya,,0,success
