title,sponsor,status,date,url,pdf_url,source,category,summary,text_content,analysis_status,created_at
"The Public Finance Management ( Amendment) Bill, No. 40 Of 2023.",National Assembly,Amendment,2023-01-01,https://www.parliament.go.ke/sites/default/files/2023-09/The%20Public%20Finance%20Management%20%28Amendment%29%20Bill%2C%20No.%2040%20of%202023.pdf,https://www.parliament.go.ke/sites/default/files/2023-09/The%20Public%20Finance%20Management%20%28Amendment%29%20Bill%2C%20No.%2040%20of%202023.pdf,Senate Bills,Legislative,"Bill before Parliament: The Public Finance Management ( Amendment) Bill, No. 40 Of 2023.. Source: Senate Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2023-09/The%20Public%20Finance%20Management%20%28Amendment%29%20Bill%2C%20No.%2040%20of%202023.pdf,pending,2026-02-11T03:03:49.071308
"The Public Transport ( Motorcycle Regulation) Bill, No. 38 Of 2023.",National Assembly,Published,2023-01-01,https://www.parliament.go.ke/sites/default/files/2023-09/The%20Public%20Transport%20%28Motorcycle%20Regulation%29%20Bill%2C%20No.%2038%20of%202023.pdf,https://www.parliament.go.ke/sites/default/files/2023-09/The%20Public%20Transport%20%28Motorcycle%20Regulation%29%20Bill%2C%20No.%2038%20of%202023.pdf,Senate Bills,Legislative,"Bill before Parliament: The Public Transport ( Motorcycle Regulation) Bill, No. 38 Of 2023.. Source: Senate Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2023-09/The%20Public%20Transport%20%28Motorcycle%20Regulation%29%20Bill%2C%20No.%2038%20of%202023.pdf,pending,2026-02-11T03:03:49.071890
"The Street Vendors ( Protection Of Livelihood) Bill, No. 41 Of 2023.",National Assembly,Published,2023-01-01,https://www.parliament.go.ke/sites/default/files/2023-09/The%20Street%20Vendors%20%28Protection%20of%20Livelihood%29%20Bill%2C%20No.%2041%20of%202023.pdf,https://www.parliament.go.ke/sites/default/files/2023-09/The%20Street%20Vendors%20%28Protection%20of%20Livelihood%29%20Bill%2C%20No.%2041%20of%202023.pdf,Senate Bills,Legislative,"Bill before Parliament: The Street Vendors ( Protection Of Livelihood) Bill, No. 41 Of 2023.. Source: Senate Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2023-09/The%20Street%20Vendors%20%28Protection%20of%20Livelihood%29%20Bill%2C%20No.%2041%20of%202023.pdf,pending,2026-02-11T03:03:49.072438
"The Parliamentary Powers And Privileges ( Amendment) Bill, No. 37 Of 2023.",National Assembly,Amendment,2023-01-01,https://www.parliament.go.ke/sites/default/files/2023-09/The%20Parliamentary%20Powers%20and%20Privileges%20%28Amendment%29%20Bill%2C%20No.%2037%20of%202023.pdf,https://www.parliament.go.ke/sites/default/files/2023-09/The%20Parliamentary%20Powers%20and%20Privileges%20%28Amendment%29%20Bill%2C%20No.%2037%20of%202023.pdf,Senate Bills,Legislative,"Bill before Parliament: The Parliamentary Powers And Privileges ( Amendment) Bill, No. 37 Of 2023.. Source: Senate Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2023-09/The%20Parliamentary%20Powers%20and%20Privileges%20%28Amendment%29%20Bill%2C%20No.%2037%20of%202023.pdf,pending,2026-02-11T03:03:49.072986
"The Public Holidays (amendment) Bill, No. 31 Of 2023",National Assembly,Amendment,2023-01-01,https://www.parliament.go.ke/sites/default/files/2023-08/The%20Public%20Holidays%20%28Amendment%29%20Bill%2C%20No.%2031%20of%202023.pdf,https://www.parliament.go.ke/sites/default/files/2023-08/The%20Public%20Holidays%20%28Amendment%29%20Bill%2C%20No.%2031%20of%202023.pdf,Senate Bills,Legislative,"Bill before Parliament: The Public Holidays (amendment) Bill, No. 31 Of 2023. Source: Senate Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2023-08/The%20Public%20Holidays%20%28Amendment%29%20Bill%2C%20No.%2031%20of%202023.pdf,pending,2026-02-11T03:03:49.074061
"The Food & Feed Safety Control Co-ordination Bill, 2023",National Assembly,Published,2023-01-01,https://www.parliament.go.ke/sites/default/files/2023-07/The%20Food%20%26%20Feed%20Safety%20Control%20Co-ordination%20Bill%2C%202023.pdf,https://www.parliament.go.ke/sites/default/files/2023-07/The%20Food%20%26%20Feed%20Safety%20Control%20Co-ordination%20Bill%2C%202023.pdf,Senate Bills,Legislative,"Bill before Parliament: The Food & Feed Safety Control Co-ordination Bill, 2023. Source: Senate Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2023-07/The%20Food%20%26%20Feed%20Safety%20Control%20Co-ordination%20Bill%2C%202023.pdf,pending,2026-02-11T03:03:49.074627
"The Care & Protection Of Child Parents Bill, 2023",National Assembly,Published,2023-01-01,https://www.parliament.go.ke/sites/default/files/2023-07/The%20Care%20%26%20Protection%20of%20Child%20Parents%20Bill%2C%202023.pdf,https://www.parliament.go.ke/sites/default/files/2023-07/The%20Care%20%26%20Protection%20of%20Child%20Parents%20Bill%2C%202023.pdf,Senate Bills,Legislative,"Bill before Parliament: The Care & Protection Of Child Parents Bill, 2023. Source: Senate Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2023-07/The%20Care%20%26%20Protection%20of%20Child%20Parents%20Bill%2C%202023.pdf,pending,2026-02-11T03:03:49.075161
"The County Governments ( Amendment) Bill, 2023",National Assembly,Amendment,2023-01-01,https://www.parliament.go.ke/sites/default/files/2023-08/The%20County%20Governments%20%28Amendment%29%20Bill%2C%202023.pdf,https://www.parliament.go.ke/sites/default/files/2023-08/The%20County%20Governments%20%28Amendment%29%20Bill%2C%202023.pdf,Senate Bills,Legislative,"Bill before Parliament: The County Governments ( Amendment) Bill, 2023. Source: Senate Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2023-08/The%20County%20Governments%20%28Amendment%29%20Bill%2C%202023.pdf,pending,2026-02-11T03:03:55.053276
"The Community Health Services Bill, 2023",National Assembly,Published,2023-01-01,https://www.parliament.go.ke/sites/default/files/2023-06/The%20Community%20Health%20Services%20Bill%2C%202023.pdf,https://www.parliament.go.ke/sites/default/files/2023-06/The%20Community%20Health%20Services%20Bill%2C%202023.pdf,Senate Bills,Legislative,"Bill before Parliament: The Community Health Services Bill, 2023. Source: Senate Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2023-06/The%20Community%20Health%20Services%20Bill%2C%202023.pdf,pending,2026-02-11T03:03:55.054403
"The Security Services Laws ( Amendment) Bill, 2023",National Assembly,Amendment,2023-01-01,https://www.parliament.go.ke/sites/default/files/2023-06/The%20Security%20Services%20Laws%20%28Amendment%29%20Bill%2C%202023%20%281%29.pdf,https://www.parliament.go.ke/sites/default/files/2023-06/The%20Security%20Services%20Laws%20%28Amendment%29%20Bill%2C%202023%20%281%29.pdf,Senate Bills,Legislative,"Bill before Parliament: The Security Services Laws ( Amendment) Bill, 2023. Source: Senate Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2023-06/The%20Security%20Services%20Laws%20%28Amendment%29%20Bill%2C%202023%20%281%29.pdf,pending,2026-02-11T03:03:55.055024
