title,sponsor,status,date,url,source,category,summary,created_at
"The Kenya Medical Research Institute Bill,2025",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-08/THE%20KENYA%20MEDICAL%20RESEARCH%20INSTITUTE%20BILL%2C2025%20%28Compressed%20Copy%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Kenya Medical Research Institute Bill,2025. Source: National Assembly Bills.",2026-02-11T00:05:45.474158
"The Kenya Roads (amendment) Bill, 2025 (national Assembly Bills No. 14)",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-08/THE%20KENYA%20ROADS%20%28AMENDMENT%29%20BILL%2C%202025%20%28NATIONAL%20ASSEMBLY%20BILLS%20NO.%2014%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Kenya Roads (amendment) Bill, 2025 (national Assembly Bills No. 14). Source: National Assembly Bills.",2026-02-11T00:05:45.475892
The County Governments Additional Allocations (no.2) Bill (senate Bill No. 8 Of 2025),Senate,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-08/The%20County%20Governments%20Additional%20Allocations%20%28No.2%29%20Bill%20%28Senate%20Bill%20No.%208%20of%202025%29.pdf,National Assembly Bills,Legislative,Bill before Parliament: The County Governments Additional Allocations (no.2) Bill (senate Bill No. 8 Of 2025). Source: National Assembly Bills.,2026-02-11T00:05:45.477175
The County Allocation Of Revenue Bill (senate Bill No. 9 Of 2025),Senate,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-08/The%20County%20Allocation%20of%20Revenue%20Bill%20%28Senate%20Bill%20No.%209%20of%202025%29.pdf,National Assembly Bills,Legislative,Bill before Parliament: The County Allocation Of Revenue Bill (senate Bill No. 9 Of 2025). Source: National Assembly Bills.,2026-02-11T00:05:45.478707
"The Kenya Roads (amendment) Bill, 2025",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-07/THE%20KENYA%20ROADS%20%28AMENDMENT%29%20BILL%2C%202025%20%28NATIONAL%20ASSEMBLY%20BILLS%20NO.%2014%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Kenya Roads (amendment) Bill, 2025. Source: National Assembly Bills.",2026-02-11T00:05:45.479858
"The Kenya Medical Research Institute Bill,2025.",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-07/THE%20KENYA%20MEDICAL%20RESEARCH%20INSTITUTE%20BILL%2C2025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Kenya Medical Research Institute Bill,2025.. Source: National Assembly Bills.",2026-02-11T00:05:45.480925
"The Plant Protection Bill,2025",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-07/THE%20PLANT%20PROTECTION%20BILL%2C2025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Plant Protection Bill,2025. Source: National Assembly Bills.",2026-02-11T00:05:45.481988
"The National Addressing Bill,2025",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-07/THE%20NATIONAL%20ADDRESSING%20BILL%2C2025%20%282%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The National Addressing Bill,2025. Source: National Assembly Bills.",2026-02-11T00:05:45.483152
"The Sacco Societies (amendment) Bill,2025",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-07/THE%20SACCO%20SOCIETIES%20%28AMENDMENT%29%20BILL%2C2025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Sacco Societies (amendment) Bill,2025. Source: National Assembly Bills.",2026-02-11T00:05:45.484369
"The Kenya School Of Law (amendment) Bill,2025",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-07/THE%20KENYA%20SCHOOL%20OF%20LAW%20%28AMENDMENT%29%20BILL%2C2025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Kenya School Of Law (amendment) Bill,2025. Source: National Assembly Bills.",2026-02-11T00:05:45.485522
