Status,Facility,Facility_ward,Facility_constituency,Facility_subcounty,Facility_county,Name,Code,Date_established
semi-functional,Kagoji Dispensary,Abothuguchi West,Central Imenti,Imenti Central,Meru,Kagoji,703302,43739
Fully-functional,Gitugi Dispensary (Nyeri South),Mahiga,Nyeri South,Nyeri South,Nyeri,Gitugi community unit,703297,43101
Fully-functional,Tudor District Hospital (Mombasa),Tudor,Mvita,Mvita,Mombasa,Kaa Chonjo Community Unit,703293,42370
Fully-functional,Bubisa Dispensary,Turbi,North Horr,North Horr,Marsabit,BUBISA COMMUNITY UNIT 2,703292,43801
Fully-functional,Kajiado County Referral Hospital,Ildamat,Kajiado Central,Kajiado Central,Kajiado,Olkiloriti Community Health Unit,703313,42919
Fully-functional,Emotoroki Dispensary,Matapato North,Kajiado Central,Kajiado Central,Kajiado,Olchoro Oibor Community Health Unit,703314,43790
Fully-functional,Ngatataek Health Centre,Matapato North,Kajiado Central,Kajiado Central,Kajiado,Ilpartimaro Community Health Unit,703315,43710
Fully-functional,Namanga Health Centre,Matapato South,Kajiado Central,Kajiado Central,Kajiado,Karero Community Unit,703316,43739
Fully-functional,Mailwa Dispensary,Matapato South,Kajiado Central,Kajiado Central,Kajiado,Sere Community Health Unit,703317,43770
Fully-functional,Portland dispensary,Matapato North,Kajiado Central,Kajiado Central,Kajiado,Lenkishon Community Health Unit,703318,43801
Fully-functional,Maparasha Dispensary,Matapato North,Kajiado Central,Kajiado Central,Kajiado,Maparasha Community Health Unit,703319,43770
Fully-functional,Kumpa CMF Dispensary,Matapato South,Kajiado Central,Kajiado Central,Kajiado,Inkiito Community Health Unit,703320,43770
Fully-functional,Ningaini Dispensary,Mukurwe-ini West,Mukurweini,Mukurweini,Nyeri,Gatura,703300,41934
Fully-functional,Ningaini Dispensary,Mukurwe-ini West,Mukurweini,Mukurweini,Nyeri,Muyu,703301,41934
Fully-functional,Kumpa CMF Dispensary,Matapato South,Kajiado Central,Kajiado Central,Kajiado,Lindi Community Health Unit,703321,43601
non-functinoal,Mbuni Dispensary,Matungulu West,Matungulu,Matungulu,Machakos,Nzambani Community Health Unit,703284,43795
semi-functional,Mbuni Dispensary,Matungulu West,Matungulu,Matungulu,Machakos,Kwale Community Health Unit,703283,43795
semi-functional,Kiaragana Dispensary,Mukure,Ndia,Kirinyaga West,Kirinyaga,Kanyokora Community Health Unit,703286,42446
semi-functional,Imulama Dispensary,Idakho North,Ikolomani,Ikolomani,Kakamega,Imbale Community Health Unit,703281,43374
Fully-functional,Tabaita Dispensary,Kaplelartet,Sigowet/Soin,Sigowet/Soin,Kericho,Tabaita Community Unit,703280,43649
Fully-functional,Kapsomboch Dispensary,Kaplelartet,Sigowet/Soin,Sigowet/Soin,Kericho,Kapsomboch Community Health Unit,703279,43682
Fully-functional,Wargadud Medical Centre,Wargudud,Mandera South,Mandera South,Mandera,Wargadud Community Test Unit,703278,43739
non-functinoal,Biliqo Marara Dispensary,Chari,Isiolo North,Merti,Isiolo,Biliqo Marara Community Health Unit,703275,43608
non-functinoal,Duse Dispensary,Kinna,Isiolo South,Garbatulla,Isiolo,Duse Community Health Unit,703256,42167
semi-functional,Garbatulla District Hospital,Garba Tulla,Isiolo South,Garbatulla,Isiolo,Garbatulla South Community Health Unit,703255,41044
Fully-functional,Isiolo District Hospital,Wabera,Isiolo North,Isiolo,Isiolo,Tuluroba Community Health Unit,703254,41379
non-functinoal,Boji Dispensary,Garba Tulla,Isiolo South,Garbatulla,Isiolo,Boji Community Health Unit,703253,41105
semi-functional,Sengani Dispensary,Tala,Matungulu,Matungulu,Machakos,Kyaume Community Health Unit,703242,43483
semi-functional,Chepkemel Dispensary,Ngenyilel,Turbo,Turbo,Uasin Gishu,Chepkemel Community Health Unit,703213,37482
semi-functional,GK Prison Dispensary (Meru),Municipality,North Imenti,Imenti North,Meru,Mjini Health Community Health Unit,703200,43578
Fully-functional,Lukolis Model Health Centre,Amukura West,Teso South,Teso South,Busia,Akites Community Health Unit,703199,42584
Fully-functional,Ngelechom Community Dispensary,Chakol North,Teso South,Teso South,Busia,Aciit Community Health Unit,703198,42226
Fully-functional,Alupe Sub County Referral Hospital,Ang'orom,Teso South,Teso South,Busia,Agolot Community Health Unit,703197,42592
Fully-functional,Alupe Sub County Referral Hospital,Ang'orom,Teso South,Teso South,Busia,Amerikwai Community Health Unit,703196,42585
Fully-functional,Obekai Dispensary,Amukura Central,Teso South,Teso South,Busia,Kaliwa Community Health Unit,703195,42431
Fully-functional,Awach Health Centre,Kabondo West,Kabondo Kasipul,Kabondo Kasipul,Homa Bay,Koloo Community Health Unit,703189,42922
Fully-functional,Odino Health Centre,Kabondo West,Kabondo Kasipul,Kabondo Kasipul,Homa Bay,Lower Kakangutu West Community Health Unit,703188,42571
Fully-functional,Kauma Health Centre (Rachuonyo),Kabondo West,Kabondo Kasipul,Kabondo Kasipul,Homa Bay,Upper Kakangutu West Community Health Unit,703187,42557
Fully-functional,Othoro Health Centre (Rachuonyo),Kabondo East,Kabondo Kasipul,Kabondo Kasipul,Homa Bay,Othoro Community Health Unit,703186,42564
