Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,Beds and Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Service_names,Approved,Public visible,Closed
14499,Flax Dispensary,Flax Dispensary,1483,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Elgeyo Marakwet,Keiyo South,Keiyo South,Chepkorio,Operational,No,No,No,No,,Yes,Yes,No
14506,Geta Dispensary,Geta Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Trans Nzoia,Cherangany,Cherangany,Cherangany/Suwerwa,Operational,No,No,No,No,,Yes,Yes,No
14504,Loltulelei Friends Dispensary,Loltulelei Friends Dispensary,None,Level 2,Dispensary,DISPENSARY,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,0,0,0,Samburu,Samburu Central,Samburu Central,Lodokejek,Operational,No,No,No,No,,Yes,Yes,No
14515,Kirimun GK Dispensary,Kirimun GK Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Samburu,Samburu Central,Samburu Central,Lodokejek,Operational,No,No,No,No,,Yes,Yes,No
14519,GK Prisons Dispensary (Eldoret East),GK Prisons Dispensary (Eldoret East),None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Uasin Gishu,Moiben,Moiben,Kimumu,Operational,No,No,Yes,No,,Yes,Yes,No
14518,GK Prison Dispensary (Nandi Central),GK Prison Dispensary (Nandi Central),None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Nandi,Emgwen,Emgwen,Kapsabet,Operational,No,No,No,No,,Yes,Yes,No
14522,GK Prisons Dispensary (Laikipia East),GK Prisons Dispensary (Laikipia East),None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Laikipia,Laikipia East,Laikipia East,Thingithu,Operational,No,No,No,No,,Yes,Yes,No
14521,GK Prisons Dispensary (Kericho),GK Prisons Dispensary (Kericho),None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kericho,Ainamoi,Ainamoi,Kapkugerwet,Operational,No,No,Yes,No,,Yes,Yes,No
14523,GK Prisons Dispensary,GK Prisons Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,0,1,Narok,Narok North,Narok North,Narok Town,Operational,No,No,No,No,,Yes,Yes,No
14526,Maralal GK Prison Dispensary,Maralal GK Prison Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Samburu,Samburu Central,Samburu Central,Maralal,Operational,No,No,No,No,,Yes,Yes,No
