county,constituency_code,constituency_name,office_location,landmark,distance_from_landmark
Taita Taveta,,Voi,Behind Taita Taveta County Public Service,Voi Remand GK prison,100 Metres
Garissa,,Garissa Township,"Off Lamu Road, Behind Ministry Of Water Garage",,
Garissa,,Balambala,Balambala Town Next To Dc’s Office,,
Garissa,,Lagdera,"Modogashe Town, Opposite Police Station",,
Garissa,,Dadaab,"Dadaab Town, Opposite Un Compound",,
Garissa,,Fafi,Next To Dc’s Office,,
Garissa,,Ijara,"Masalani Town, Next To Dc’s Office.",,
Wajir,,Wajir North,Bute,Police Station,100 Metres
Wajir,,Wajir East,Wajir,Huduma Centre,20 Metres
Wajir,,Tarbaj,Tarbaj,Ward Administrator’s Office,50 Metres
Wajir,,Wajir West,Giriftu,DCC’s Office,100 Metres
Wajir,,Eldas,Eldas,DC‘s Residence,50 Metres
Wajir,,Wajir South,Habaswein,AP Camp,100 Metres
Mandera,,Banissa,"Banissa Town, Along Banissa-Rhamu Road",Next to Malkamari Hotel,20 Meters
Mandera,,Mandera West,Opposite Takaba Primary Main Gate,Takaba Primary School,20 Meters
Mandera,,Mandera North,Inside Mandera North DCC's Compound,DCC Compound-Mandera North,Within Mandera North DCC Com-pound
Mandera,,Mandera South,Elwak CBD Along Elwak-Wajir Road,Dido Petrol Station,30 Metres
Mandera,,Mandera East,Off Suftu Road Behind Blue Light Petrol Station,Blue Light Petrol Station,50 Metres
Mandera,,Lafey,Lafey Town,Next To Lafey Primary School,100 Metres
Marsabit,,Moyale,ACK Moyale.,St. Paul Training Center,Within the Compound
Marsabit,,North Horr,Nyota Self Help Group North Horr,Adjacent to AP Camp,300 Metres
Marsabit,,Saku,"ACK Saku Offices Building,",St. Peter Cathedral,Within The Compound
Marsabit,,Laisamis,DCC Office Laisamis,DCC Office,DCC Compound
Isiolo,,Isiolo North,Isiolo Town,Opposite Isiolo County Assembly,10 Metres
Isiolo,,Isiolo South,Garbatulla Town,Garbatulla Catholic Mission,Within Garbatulla Catholic
Meru,,Buuri,Timau,DCC Buuri West Office,Sharing Building
Meru,,Igembe Central,Kangeta,DCC Office,100 Meters
Meru,,Igembe North,Laare,Shell Petrol Station (Kajuko Centre),500 Meters
Meru,,Tigania West,Kianjai Town,Kianjai National Bank,100 Meters
Meru,,Tigania East,Muriri DCC Compound,DCC Office,100 Metres
Meru,,North Imenti,Meru Town,Meru Huduma Center,300 Meters
Meru,,Igembe South,Maua Town,Maua Police Station,150 Meters
Meru,,Central Imenti,Gatimbi Market,Equator Signpost,800 Meters
Meru,,South Imenti,Nkubu,Consolata Hospital Nkubu,2km
Tharaka-Nithi,,Maara,"DCC Compound, Kienganguru",DCC Compound,100 Metres
Tharaka-Nithi,,Chuka/ Igambang'ombe,"Chuka Town, Sub County Office Compound",Opposite Trans National Bank,200 Metres
Tharaka-Nithi,,Tharaka,"Marimanti Town, DCC Compound",DCC Offices,200 Metres
Embu,,Manyatta,Embu Town-Along Embu-Meru Highway,Ack Embu Cathedral Church,25 Metres
Embu,,Runyenjes,"Embu East DCC Bulding, 1st Floor","DCC Offices, Embu East",10 Metres
Embu,,Mbeere South,Kiritiri Town,DCC Offices - Mbeere East Subcounty,200 Metres
Embu,,Mbeere North,DCC Compound Mbeere North Subcounty,DCC Offices,15 Metres
Kitui,,Mwingi North,Kyuso Town,Behind Equity Bank,200 ft
Kitui,,Mwingi West,Migwani market - inside DCC Office Complex,Baraza Park,30 Metres
Kitui,,Mwingi Central,Mwingi Town Opposite NCPB Mwingi Depot,National Cereals and Produce Board (NCPB) Mwingi Depot,5 Metres
Kitui,,Kitui West,Matinyani,Matinyani DCC Offices,2 KMs
Kitui,,Kitui Rural,Kwa Vonza Town,Kitui Rural CDF Building,0 Metres
Kitui,,Kitui Central,"Along DCC - Kitui Hospital Road, opposite",Kafoca Hotel,20 Metres
Kitui,,Kitui East,Zombe Town,Zombe Police Station,10 Metres
Kitui,,Kitui South,Ikutha Town,Opposite Registry Office,100 Metres
Machakos,,Masinga,Masinga Town Opposite MULKAS petrol,,
Machakos,,Yatta,National Cereals and Produce Board,,
Machakos,,Kangundo,"Ministry Of Works Bulding,Opposite Kangundo",,
Machakos,,Matungulu,Kangundo Junior School Within Tala Town,,
Machakos,,Kathiani,DCCs Office block,,
Machakos,,Mavoko,DCC Office Compound in Athi River,,
Machakos,,Machakos Town,"IEBC County Offices compound,behind",,
Machakos,,Mwala,Makutano ya Mwala Shopping centre,,
Makueni,,Mbooni,Tawa Social Hall,Tawa Law Courts,80 Metres
Makueni,,Kilome,Kwa DC (Malili),Konza City (Malili),1 km (along NBI-MSA Highway)
Makueni,,Kaiti,Mukuyuni Shopping Centre (CDF Compound),Mukuyuni Police Station,200 Metres
Makueni,,Kibwezi West,Makindu Town,DCCs Office,Same compound
Makueni,,Kibwezi East,Kambu Lutheran Church,Kambu Sub County (Ministry of Interior Office),150 Metres
Nyandarua,,Kinangop,Elacy Trading Center First Floor,North Kinangop Subcounty Headquarters,50 Meters
Nyandarua,,Kipipiri,Kipipiri Subcounty Headquaters,Kipipiri Subcounty Headquaters,Within
Nyandarua,,Ol Kalou,IEBC County Headqauters,Posta Building Olkalou,Within
Nyandarua,,Ol Jorok,Nyandarua West Subcounty Headquaters,Nyandarua West Subcounty Headquaters,Within
Nyandarua,,Ndaragwa,Ndaragwa Township Next to Central Ward MCA,Ndaragwa Police Station,50 to 100 Meters
Nyeri,,Tetu,Tetu Sub County Headquarters,Deputy County Commissioner(DCC) Offices or Tetu,50 Meters
Nyeri,,Kieni,Mweiga Town,Next To Equity Atm,1 Meter
Nyeri,,Mathira,"2nd Floor Room 18, Mathira East",Karatina Law Courts,Opposite The Law Courts
Nyeri,,Othaya,DCC Offices Grounds,DCC Office,Within DCC Offices
Nyeri,,Mukurwe-Ini,Mukurwe-ini DCC Grounds Offices,Near mukurwe-ini sub county hospital,200 Meters
Nyeri,,Nyeri-Town,DCC Offices Grounds,Huduma Center,50 Meters
Kirinyaga,,Mwea,County Council Offices Wanguru,Wanguru Police Station,50 Metres
Kirinyaga,,Gichugu,All Saints Kianyaga ACK,Raimu Primary School,50 Metres
Kirinyaga,,Ndia,Baricho Town,A.C.K St Philips - Baricho,0.5metres
Kirinyaga,,Kirinyaga Central,Kerugoya Municipal Council Offices,Kerugoya Police Station/Kerugoya State,50 Metres
Kirinyaga,,Murang’a,County,,
Kirinyaga,,Kangema,Kangema Town,DCC’s offices.,Within th DCC's office
Kirinyaga,,Mathioya,Kiria-Ini Town,DCC’s offices.,Within th DCC's office
Kirinyaga,,Kiharu,Murang’a -,"Along Kenol Murang'a Road, Next To Rubis Petrol Station at",100 Meters
Kirinyaga,,Mukuyu,Mukuyu,,
Kirinyaga,,Kigumo,Kangari Town,"East End Mall, Building, 3rd Floor. Kangari Town.",Within Muungano Microfinance buidling
Kirinyaga,,Maragwa,Makuyu,"World Vision Block adjudcent to ACC’s Office, Makuyu",20 Meters ACCs office Makuyu
Kirinyaga,,Kandara,Kandara Town,"Hurukai House, 2nd Floor Above Amica Sacco, 500 meters",500 Meters from DCC's office
Kirinyaga,,Gatanga,Kirwara Town,"Next to Amica Sacco Building, Ground Floor. Kirwara Town.",20 Meters from Kirwara Police Station
Kiambu,,Gatundu South,DCC Compound,Gatundu Level 5 Hospital,100 Meters
Kiambu,,Gatundu North,Kamwangi,DCC Office Kamwangi,Within DCC Office Compound
Kiambu,,Juja,Menja Vision Plaza,Behind Agakhan Hospital,30 Metres
Kiambu,,Thika Town,Afc Building Thika,Buffalo Grill & Butchery,100 Metres
Kiambu,,Ruiru,Ruiru Law Courts,Ruiru Law Courts,20 Meters
Kiambu,,Githunguri,DCC Compound,DCC Offices,7 Metres
Kiambu,,Kiambaa,Kiambaa Subcounty DCC Office Compoud,Kiambaa Subcounty DCC Building (Orange),Afew Metres
Kiambu,,Kabete,Kabete Sub County Government Premises.,Wangige Sub County Hospital,100 Metres
Kiambu,,Kikuyu,Kikuyu Town,K-Unity Bank,Zero
Kiambu,,Limuru,Directorate Of Public Works-Limuru,Limuru Law Courts,200 Metres
Kiambu,,Lari,"Along Nairobi - Nakuru Highway, Within Ki-",Kimende Town,Within
Turkana,,Turkana North,DCC's Compound Lokitaung',DCC's Office,10 Metres
Turkana,,Turkana West,Old DCC's Office Kakuma,Refugees Affairs Services Offices,5 Metres
Turkana,,Turkana Central,DCC's Compound Lodwar,Huduma Centre,10 Metres
Turkana,,Loima,DCC's Compound Lorgum,DCC's Office,10 Metres
Turkana,,Turkana South,DCC's Compound Lokichar,DCC's Office,5 Metres
Turkana,,Turkana East,DCC's Compound Lokori,DCC's Office,5 metres
West Pokot,,Kapenguria,Deputy Commissioner’s Compound,DCC Offices,10 Meters
West Pokot,,Sigor,KVDA,KVDA Offices,0 Metres
West Pokot,,Kacheliba,Holy Cross Catholic Church Kacheliba Catholic Church,100 Meters,
West Pokot,,Pokot South,St Marks Development Centre,DCC Offices,200 Meters
Samburu,,Samburu West,Maralal Town,Samburu County Assembly,200 Metres
Samburu,,Samburu North,Baragoi Town,DCC Office,Within the DCC Building - 0 Metres
Samburu,,Samburu East,Wambaa Town,Wamba Parish,Within the Church Compound - 0 Metres
Trans Nzoia,,Kwanza,KFA Building kitale town,KFA Building,Within KFA Building
Trans Nzoia,,Endebess,Endebess Centre,DCCs office,150 Metres
Trans Nzoia,,Saboti,Maendeleo ya wanawake building Old Ambwere Plaza,100 Metres,
Trans Nzoia,,Kiminini,Kiminini centre,St Peters Cleavers Catholic Church,Within Church Compound
Trans Nzoia,,Cherangany,Kachibora,DCCs office,Within DCCs Office
Uasin Gishu,,Soy,"Meadows Plaza, opposite Sirikwa Hotel",Meadows plaza,
Uasin Gishu,,Turbo,"Within NCCK North headquarters, West Indies","NCCK North Headquarters, West Indies",100 Metres
Uasin Gishu,,Moiben,"Kimumu Ward Administrative Offices in Ainabtich, Kimumu Ward Administrative Offices",100 Metres,
Uasin Gishu,,Ainabkoi,"Adjacent To Eldoret East District Hqs, Off",Eldoret East District Hqs,Across The Road (0)
Uasin Gishu,,Kapseret,"Inside R.C.E.A Ushirika Church Compound, Op-","R.C.E.A Ushirika Church, Opposite Hills School",Inside The Church Compound
Uasin Gishu,,Kesses,Jamboni Complex Near DCC’s Office,Moi Unversity Law School,1 Km
Elgeyo Marakwet,,Marakwet East,Chesoi DCC Compound,DCC Office,Within
Elgeyo Marakwet,,Marakwet West,Kapsowar IEBC Office,IEBC,Within
Elgeyo Marakwet,,Keiyo North,IEBC,County Governor Office,Sharing a Fence
Elgeyo Marakwet,,Keiyo South,Chepkorio Prime Tower Sacco,Prime Tower Sacco Society,Within
Nandi,,Mosop,Kabiyet-Nandi North District Headquarters,Kabiyet-Nandi North District Headquarters,Same Compound
Nandi,,Nandi Hills,"Nandi Hills Town, Ministry of Public Works",Nandi Water Suplly,50 Meters
Nandi,,Emgwen,Mininstry of Lands Kapsabet,Ministry of Lands/ Acc Office,20meters From Tarmac
Nandi,,Chesumei,Cheptarit Catholic Church- Mosoriot,Cheptarit Catholic Church,Same Location
Nandi,,Aldai,"St. Pauls Catholic Church, Within Kobujoi Town",St. Pauls Catholic Church,
Nandi,,Tindiret,Senetwo Social Hall,Former World Vision Offices,Senetwo Primary School Within
Baringo,,Tiaty,Next To Ministry Of Education Offices-,Chemolingot,
Baringo,,Baringo North,Behind Posta Building,Posta Building –Baringo North,19 Km From Kabarnet Town
Baringo,,Baringo Central,"County Commissioners Premises,",County Commissioners Premises- Kabarnet 100m,
Baringo,,Baringo South,Deputy County Commissioner’s,District Hq Marigat - Kabarnet,200m From Telcom Kenya
Baringo,,Mogotio,Behind Boresha Sacco,Boresha Sacco- Mogotio Township,70m From The Tarmack
Baringo,,Eldama Ravine,Sub County Commissioner’s,Law Courts – Eldama Ravine,-
Laikipia,,Laikipia West,Telkom Building Nyahururu Town,Nyahururu Law Courts,20 Metres Approximate
Laikipia,,Laikipia East,Laikipia County Commissioners,County Commissioners Office,Within The Compound
Laikipia,,Laikipia North,Doldol Catholic Parish Compound,Doldol Catholic Church,Within The Compound
Nakuru,,Molo,Dcc's Compound - Molo Town,Dc's Office - Molo Town,200m From Matatu Terminus
Nakuru,,Njoro,Aic Church - Compound -Njoro,Aic Church - Njoro,Inside The Compound
Nakuru,,Naivasha,Dcc's Compound - Near Naivasha Police Station,Naivasha Police Station,100m
Nakuru,,Gilgil,Hennsolex Building- Ground Floor- Gilgil Town,KPLC - Gilgil,Same Building
Nakuru,,Kuresoi South,Keringet centre- Keringet Mall,Keringet Center 100m ahead from the,200m
Nakuru,,Kuresoi North,"Kuresoi North Sub County Offices, Kamara Division Kuresoi North Sub County Offices",Inside Subcounty Offices,
Nakuru,,Subukia,Behind top care hospital,100metres from subukia-Nakuru highway,100m
Nakuru,,Rongai,IEBC Kampi ya moto behind DC office.,Kampi Ya Moto Trading Center,100m
Nakuru,,Bahati,Do's Compound - Kiamaina / Maili Sita - Bahati,Do's Office Kiamaina / Maili Sita - Bahati,100 M
Nakuru,,Nakuru Town West,"County council offices, opposite Kenya Farmers",Kfa Roundabout - Nakuru Town,200m
Nakuru,,Nakuru Town East,Catholic Diocese Nakuru (Cdn) Compound -,"Mercy Mission Hospital, Assumption Center Near Within Catholic Diocese Compounds.",
Narok,,Kilgoris,Old Kilgoris County Council Offices,Cooperative Bank Kilgoris,80 Metres
Narok,,Emurua Dikkir,Emurua Dikkir,Sub County Offices,10 Metres
Narok,,Narok North,Narok North CDF Offices,Narok County Commisioner Offices,20 Meters
Narok,,Narok East,Ntulele,Ntulele Police Station,50 Metres
Narok,,Narok South,Ololulunga,Ololulunga Police Station,10 Metres
Narok,,Narok West,Ngoswani Centre,Drilled Water Solar Powerpoint,70 Metres
Kajiado,,Kajiado North,Ngong DCC Office,Ngong DCC Office,0 Meters
Kajiado,,Kajiado Central,Ack Tenebo House,Kajiado Total Petrol Station,50 Meters
Kajiado,,Kajiado East,Isinya Multi-Purpose,Moi Girls High School Isinya,50 Meters
Kajiado,,Kajiado West,St Mary's Catholic Church-Kiserian,St Mary's Catholic Church-Kiserian,0 Meters
Kajiado,,Kajiado South,Kajiado County Government Revenue Loitoktok DCC Office,200 Meters,
Kericho,,Ainamoi,County Commissioner's Compound Behind Administration Police and,20 Meters from the County Commissioners,
Kericho,,Bureti,"Litein Town, Patnas Plaza",Patnas Plaza,Approx. 20 Meters from Bureti Police
Kericho,,Belgut,Rev. Temuga Plaza,Opposite DCC Office,100 Meters from Sosiot Police Station on
Kericho,,Sigowet Soin,Soko Huru Center,Inside Police Post Compound,"Mathioyo Stadium, 800 Meters from"
Kericho,,Kipkelion East,Within Londian Post Office,Londian Post Office,Post Office Compound
Kericho,,Kipkelion West,Posta Kenya Building Kipkelion,Kipkellion Post Office,5 Meters From Londian - Kisumu Highway
Bomet,,Chepalungu,Sigor AGC Church,Junction to Sigor Township,500 Metres
Bomet,,Bomet Central,Bomet Town,NCPB,0 Metres
Bomet,,Konoin,Mogogsiek,DCC Office Konoin Subcounty,Approx. 150 Metres
Bomet,,Bomet East,"AFC Building, Bomet Town",Shell Petrol Station,Approx. 15 Metres
Bomet,,Sotik,Ministry of Agriculture,Opposite CDF Office,Approx. 20 Metres
Kakamega,,Lugari,Lumakanda Centre,Lumakanda P.A.G. Church,95 Metres
Kakamega,,Likuyani,At PAG Kongoni Church Compound,Next to Likuyani Sub-County Offices,50 Metres
Kakamega,,Malava,Malava Friends Church Compound.,Malava Boys High School,50 Metres
Kakamega,,Lurambi,Post Office,Huduma Center,20 Metres
Kakamega,,Navakholo,Opposite Dowa Filling Station along,Dowa Filling Station,30 Meters
Kakamega,,Mumias West,ACK Guest House,ACK Church Complex,50 Metres
Kakamega,,Mumias East,Moco Buildings-Shianda,Shianda Catholic Church,10 Metres
Kakamega,,Matungu,"Matungu Market, along Matungu -",Matungu Deputy County Commissioner's,200 Metres
Kakamega,,Butere,Butere DCC Compound Next to,Deputy County Commissioner's Office,10 Metres
Kakamega,,Khwisero,Within DCC's Offices,DCC's Office,Inside DCC’s Office Block
Kakamega,,Shinyalu,Shinyalu Market,St.Acquinas Teachers College,100 Metres
Kakamega,,Ikolomani,Sub-County Registrar of Persons Office Malinya Primary School,100 Metres,
Vihiga,,Sabatia,DCC Compound,Sabatia Eye Hospital,600 Metres
Vihiga,,Hamisi,Hamisi Youth Empowerment Centre,Hamisi Sub-County Hospital,100 Metres
Vihiga,,Luanda,Luanda Centre,Bunyore Girls High School,800 Metres
Vihiga,,Emuhaya,Esibuye Centre,Bunyore Medical Hospital,150 Metres
Bungoma,,Mt. Elgon,Kapsokwony,Koony House,Within Kooni House
Bungoma,,Sisiria,DCC Compound,Sirisia DCC Office,50 Metres From DCC Office
Bungoma,,Kabuchai,Behind Kabuchai Cdf Compound,Along Kanduyi Chwele Road Approx.,100 Metres
Bungoma,,Bumula,Bumula DCC Ofiice,DCC Compound,150 Metres
Bungoma,,Kanduyi,Bungoma Cereals Board,Silos,Next To Silos in the Compound
Bungoma,,Webuye East,1st Office at DCC Compound 2nd,DCC Compound / Mp Office,Approx. 50m from the DCC Office
Bungoma,,Webuye West,Matisi Market,Along Bungoma Webuye High Way -,100 Metres
Bungoma,,Kimilili,Great Lounch Hotel Building,Opposite Kimilili Deb Primary,20 Metres
Bungoma,,Tongaren,Within Bungoma North Sub-County National Government CDF Offices,50 Metres From CDF Offices,
Busia,,Teso North,DCC's Compound,Law Courts,2 Metres
Busia,,Teso South,DCC's Compound,DCC's building,0 Metres
Busia,,Nambale,DCC's Compound,DCC's building,0 Metres
Busia,,Matayos,Assistant County Commissioner's com-,Assistant County Commissioner's office,10 Metres
Busia,,Butula,DCC's Compound,Butula Police Station,30 Metres
Busia,,Funyula,Funyula market,Moody Awori Primary school,20 Metres
Busia,,Budalangi,Budalangi Market,Budalangi Primary School,100 Metres
Siaya,,Ugenya,Ukwala - Opposite Sub County Officers Posta - Ukwala,100 Metres,
Siaya,,Ugunja,Along Savana - Ambira Hospital Road Savana Hotel,50 Metres,
Siaya,,Alego Usonga,Siaya Town- Within County,County Commissioner's Office,100 Metres
Siaya,,Gem,Nyangweso Market Centre - Adjacent Sawagongo High School,200 Metres,
Siaya,,Bondo,"Adjacent Municipal Offices, Next to",Bondo Law Courts,20 Metres
Siaya,,Rarieda,Kalandini Market Centre - Within,Kalandini Market,100 Metres
Kisumu,,Nyando,Awasi DCC Compound,,
Kisumu,,Muhoroni,Awasi Opposite Pawtenge Primary,,
Kisumu,,Nyakach,Pap Onditi DCC Compound,,
Kisumu,,Seme,Kombewa DCC Compound,,
Kisumu,,Kisumu West,DCCs office block opposite the new DCCs/Huduma,,
Kisumu,,Kisumu East,Mamboleo Show Ground,,
Kisumu,,Kisumu Central,Huduma Centre Wing C Ground Floor,,
Homa Bay,,Homabay,County,,
Homa Bay,,Kasipul,Within Karachuonyo South DCC Compound at Kosele,,
Homa Bay,,Kabondo Kasipul,At Kadongo Centre Along Kisii - Kisumu Road,,
Homa Bay,,Karachuonyo,Within Rachuonyo North DCC Complex at Kamodi,,
Homa Bay,,Rangwe,Within New Rangwe DCC's Complex aLong Oyugis -,,
Homa Bay,,Homa Bay Town,Behind CC's Complex in Homabay Town,,
Homa Bay,,Ndhiwa,Within Ndhiwa Sub County DCC Complex Along Ndhiwa,,
Homa Bay,,Suba North,Inside Suba North Sub County Compound along Mbita -,,
Homa Bay,,Suba South,At Magunga Trading Centre along Kiabuya - Magunga,,
Migori,,Rongo,Rongo Town,DCC Office Rongo sub County,Within DCC office compound
Migori,,Awendo,Awendo Town,NCPB Awendo,Within NCPB Compound
Migori,,Suna East,Migori Town,Migori County IEBC Office,Wthin office building
Migori,,Suna West,Migori Town,NCPB / Namba Junction,NCPB Compound
Migori,,Uriri,Uriri Town,DCC officeUriri Sub County,Within DCC Compound
Migori,,Nyatike,Macalda Town,County Government Office Macalda,50m from DCC office
Migori,,Kuria West,Kehancha Town,Kehancha Law Courts,Next to the Law Court
Migori,,Kuria East,Kegonga Town,DCC Office Kuria East Sub County,Within DCC's Office
Kisii,,Bonchari,Suneka Market,Itierio Boys High School,40 Metres
Kisii,,South Mugirango,Nyamarambe,DCC's Office,50 Metres
Kisii,,Bomachoge Borabu,Kenyanya Market Centre,DCC's Office,10 Metres
Kisii,,Bobasi,Itumbe,DCC's Office,50 Metres
Kisii,,Bomachoge Chache,Ogembo,DCC's Office,20 Metres
Kisii,,Nyaribari Masaba,Masimba,DCC's Office,40 Metres
Kisii,,Nyaribari Chache,Kisii town,County Commissioner's Office,50 Metres
Kisii,,Kitutu Chache North,Marani Centre,Marani Sub-County Office,100 Metres
Kisii,,Kitutu Chache South,Kisii town,County Commissioner's Office,20 Metres
Nyamira,,Kitutu Masaba,Manga DCC Compound,Manga Cliff,200 Metres
Nyamira,,West Mugirango,Nyamira Town,County Commissioners' Headquarters,200 Metres
Nyamira,,North Mugirango,Ekerenyo Market,Ekerenyo Bus Stage,100 Metres Off the Ekereyo - Nyamira Road
Nyamira,,Borabu,DCC Office Compound in Kijauri Town DCC Offfice,20 Metres,
Nairobi,,Westlands,DC Compound,Safaricom Centre,200 Metres
Nairobi,,Dagoretti North,Maliposa Appartments - Ngong Road,Nakumatt Junction,4KMs
Nairobi,,Dagoretti South,Maisha Poa Centre,DCC Office Dagoretti South,200 Metres
Nairobi,,Langata,Langata Subcounty Headquarters Five Star,Five Star Road,2KMs
Nairobi,,Kibra,Kibra DC,Adjacent To Huduma Centre,0 Metres
Nairobi,,Roysambu,Kahawa West Acc's Office/Police Station,Acc Office/Police Station,0 Metres
Nairobi,,Kasarani,Former DCC Offices,Chiefs Office Nearby,700 Metres
Nairobi,,Ruaraka,Matigari General Merchants,Lexx Place Hotel,450 Metres
Nairobi,,Embakasi South,Villa Franca,Equity Afya Hospital Banner,0 Metres
Nairobi,,Embakasi North,Near DCC Office,DCC Office,100 Meters
Nairobi,,Embakasi Central,DO's Office Kayole,DO's Office Kayole,0 Metres
Nairobi,,Embakasi East,East Africa School of Aviation,East Africa School of Aviation (EASA),0 Metres
Nairobi,,Embakasi West,Tena White House,Foot Bridge Next to Shell Petrol Station,10 Metres
Nairobi,,Makadara,Makadara DCC Compound,CIPU Office Makadara,0 KMs
Nairobi,,Kamukunji,At DCC Hq Kamukunji,DCC Office,0 KMs
Nairobi,,Starehe,Kenya Railways Block D,Opposite Technical University of Kenya,200 Metres
Nairobi,,Mathare,Mathare DCC Compound,DCC Office,0 Metres
